netid,prelim1,prelim2,prelim3,Designguideline,Poster,Discussionsession,Extracredit,Total1,Total2
eha45,90,87,84,100,100,100,17.5,561,578.5
nea42,95,89,89.5,100,100,100,20,573.5,593.5
sa664,95.5,95.5,92,0,0,0,0,283,283
dda37,95.5,85,89,100,96,100,1.25,565.5,566.75
fa264,92,85,85,100,100,100,0,562,562
aia39,93.5,87.5,95,100,100,100,0,576,576
za39,96.5,92,94,100,100,100,20,582.5,602.5
gma67,86.5,76,92,100,100,100,20,554.5,574.5
msa226,99,95,93,100,100,100,20,587,607
aa747,98,97,94,100,100,100,20,589,609
pna9,77,81,90,100,92,100,20,540,560
gta24,95,94.5,95,100,100,100,20,584.5,604.5
gma66,91,97,86,98,100,100,20,572,592
ta279,96.5,95,95,100,100,100,20,586.5,606.5
vaa29,85.5,94,99,100,100,100,20,578.5,598.5
via4,87,87.5,91,100,100,100,0,565.5,565.5
cub5,89.5,85,94,0,0,0,3.75,268.5,272.25
jb2359,97,98,94,100,100,100,0,589,589
db795,91.5,93.25,95,100,100,84,0,563.75,563.75
hgb29,92.5,96,95,100,100,100,20,583.5,603.5
ab2297,82,92,95,100,95,100,20,564,584
amb552,91,96,97,100,100,100,20,584,604
esb253,91.5,92.5,85,100,100,100,0,569,569
rb634,69.5,61,61,100,0,100,0,391.5,391.5
keb294,94.5,94,90,0,0,0,20,278.5,298.5
cbb78,91.5,79,92,100,100,100,1.25,562.5,563.75
rb635,94,95,90,100,100,100,0,579,579
hrb53,91,98,94.5,100,100,100,20,583.5,603.5
sdb246,89,97,91,100,100,100,20,577,597
ab972,93,92,93.5,100,100,100,20,578.5,598.5
ab2695,89.5,90,93,96,100,100,20,568.5,588.5
mab635,97,96.5,98,100,100,100,20,591.5,611.5
keb289,93.5,78,96,98,100,100,6.25,565.5,571.75
db632,91,92,83,100,100,100,20,566,586
nb387,76,79,84,100,100,100,0,539,539
omb8,93.5,99,97.5,100,100,100,20,590,610
mb2569,87,88,91,100,100,100,20,566,586
mcb383,95,91.5,100,95,100,100,15,581.5,596.5
slb366,84,53.5,92,100,0,92,0,421.5,421.5
mlc354,95.5,98,100,100,100,100,20,593.5,613.5
mc2497,91.5,80,90,97,100,100,0,558.5,558.5
cmc526,90,97,91,100,100,100,20,578,598
sdc79,95.5,91,95,100,100,100,20,581.5,601.5
jec423,89,99,93,100,100,100,20,581,601
mc2238,93,95,91,100,100,100,20,579,599
hmc64,89,91,93,100,100,100,20,573,593
yc795,90.5,94,96,100,100,100,20,580.5,600.5
mmc324,86.5,96,89,100,100,100,0,571.5,571.5
hc892,93.5,88,90,100,100,100,20,571.5,591.5
sc2235,93.5,94.5,87,100,100,100,20,575,595
cgc222,96,91,90,0,0,0,0,277,277
ctc85,98,96,88,100,100,100,20,582,602
yc2385,91,82,100,100,100,80,20,553,573
sc2538,91.5,94,96,100,100,100,20,581.5,601.5
vmc44,85.5,83.5,90,100,100,100,20,559,579
djc428,94.5,94.5,82,100,0,100,20,471,491
smc479,93,98,99,0,0,0,20,290,310
mkc228,83,90,84,100,96,100,0,553,553
sec288,83.5,93.5,77.5,100,100,68,0,522.5,522.5
ljc238,95.5,99,95.5,100,100,100,20,590,610
aic39,76.5,94,85,0,0,100,20,355.5,375.5
emc294,96.5,91,89,100,100,100,20,576.5,596.5
aac99,93,94,85,100,100,100,17.5,572,589.5
egc58,84.5,79,81,100,100,100,20,544.5,564.5
cmc547,82,88,89,100,100,100,0,559,559
jac734,90.5,98,92,100,100,100,20,580.5,600.5
ctc95,99.5,97,95,100,96,100,20,587.5,607.5
anc74,93,90,85,100,100,100,1.25,568,569.25
jgc238,93,77.5,91,100,100,100,20,561.5,581.5
