netid,cog1,cog2,cog3,group,usename,follower,following,condition,soc1,soc2,soc3
aa747,4.090909,4.454545,4.454545,treat3,apekshita_dea1500,54,55,3,3.666667,4,4.333333
aar233,4.090909,4.818182,4.909091,treat3,@nottherealabdullah or @ridu_wayne,0,0,1,3.888889,4.444444,4.666667
ab2695,2.818182,3.090909,3,treat3,dea1500uselessjohn,0,0,1,3.444444,2.888889,3
adh238,4.181818,3.545455,3.636364,treat1,andrews_room,26,28,3,3.777778,3.222222,3
aed229,3.909091,4,4.545455,treat1,abbyd_room,0,0,1,4,3.666667,3.444444
aic39,3.363636,4.090909,3.909091,treat2,deaproject2020,4,3,3,2.333333,3.333333,2.666667
ajl352,3.909091,3.909091,3.909091,treat3,alvarolopezdea1500,19,23,3,3.333333,3.777778,3.777778
ajr279,4,4.909091,5,treat2,rumple.xa,7,4,3,3.333333,2.888889,5
ajx9,4.272727,3.909091,4.545455,treat1,ashmilko,29,13,3,4.222222,4,4.111111
al2476,4.909091,3.727273,4.363636,treat2,alcu2022,3,10,3,4.111111,3.888889,3.444444
al2485,4,4,4,treat3,cornellstudent232,2,2,2,3.444444,3.666667,4
alh297,4.181818,4.181818,3.909091,treat3,alh_297,22,6,3,4.222222,4.111111,4.222222
apm234,3.727273,5,4.272727,treat1,tonyinreality,7,4,3,3.222222,4.777778,4.125
arf73,3.909091,3.545455,3.727273,treat2,itsalex.hey_how_are_ya,22,19,3,3.222222,4,4.222222
as2582,4,4,4,treat3,allie_dea1500,3,2,2,3.666667,3.888889,3.666667
asc327,3.727273,3.818182,3.909091,treat1,dea1500_arianna,4,1,3,3.444444,3.555556,3.333333
asf223,4.181818,3.545455,3.636364,treat1,asf223envpsy,0,0,1,3.222222,2.666667,3.333333
asg235,4.363636,4.545455,4.636364,treat2,dea_2020_project,4,1,3,3.555556,3.777778,4
asp262,3.727273,4.181818,4.090909,treat1,allisonparky,114,96,3,3.555556,3.555556,3.555556
ath84,3.181818,3.181818,3.363636,treat3,ath84_cogst1500,1,0,3,3.222222,2.777778,3.111111
ayl36,4.727273,5,4.909091,treat2,ayl0905,4,1,3,4.222222,4.444444,4.333333
bag222,3.909091,4.545455,4.545455,treat2,brandongarcia_cornell,16,1,3,3.777778,4.555556,4.444444
bcp44,3.363636,3.454545,4.272727,treat3,brianasworkspace,9,4,3,3.444444,3.777778,3.666667
bmm97,3.636364,3.636364,4.090909,treat2,1500bmm97,1,0,2,3.555556,4.111111,4.333333
cag282,5,4.909091,5,treat1,charlottegillis_room,0,0,1,4.777778,4.333333,4.888889
cem333,4.454545,3.909091,4.454545,treat1,chrismcdermott_210,4,0,2,3.222222,4.222222,3.777778
cmd328,4.454545,4,4.363636,treat1,coledemeulemeesterdea1500,5,6,3,4.555556,4.333333,4.222222
cms528,3.636364,3.545455,3.818182,treat3,cms528_DEA1500,0,0,3,3,3.222222,3.555556
crh227,3.363636,3,3.090909,treat3,carolinerherzog,18,9,3,3.222222,3.666667,3.777778
ctc85,3.454545,3.454545,3.727273,treat1,charissa_dea1500,8,5,3,3.111111,3.333333,3.444444
ctc95,4.454545,3.909091,4.272727,treat3,catherinecoughlin203,6,3,3,4,4.222222,4.333333
dar347,4.4,4.090909,4.090909,treat1,dr.1,131,167,3,4.666667,4.333333,4.222222
db632,3,4.454545,4.727273,treat3,Dea1500_db,2,0,3,3.888889,3.777778,4.444444
dj295,3,2.454545,3.454545,treat3,dannnnjin,1,1,3,3.25,3.111111,3.777778
dl599,3.818182,4.363636,4.090909,treat2,dereklaocornell,8,5,3,3.888889,4,4
ds799,3.454545,3.454545,4.636364,treat3,dea1500ds799,2,1,3,3.777778,3.333333,4
dw562,4.545455,5,5,treat3,doreens_room,5,0,3,4.666667,4.555556,4.555556
edk55,4.363636,4,3.818182,treat3,cornellkitchentriangle,2,0,1,4.111111,3.888889,3.666667
egp45,4,4.636364,4.727273,treat3,emilyp_dea1500,28,65,3,4,4.222222,4
ekg42,4.181818,4,4.090909,treat3,elizagifford.dea1500,1,2,3,4,4.222222,4.444444
elf79,4,4.090909,4,treat1,hercuratedcorner,20,0,3,4.222222,3.777778,3.777778
enk29,3.272727,3.727273,3.818182,treat1,lizziekorn,0,0,1,3,3.444444,3.444444
enm36,4.454545,3.909091,4.272727,treat2,muniz_dea_ec,2,2,2,4.333333,3.555556,3.777778
gma66,4.181818,2.818182,3.181818,treat3,gma66_envpsy,3,0,3,4.111111,2.333333,3.444444
gnp23,4.090909,4.545455,4.727273,treat1,belladea1500,1,0,3,4.222222,3.888889,4.222222
hdj24,4.818182,4.636364,4.818182,treat3,debbiejung1500,16,5,3,4.222222,4.555556,4.555556
hr369,2.181818,2.454545,3.181818,treat3,hannahrosenbergdea1500,3,2,3,2.555556,2,1.888889
hrt42,3.727273,4.090909,4.090909,treat2,hayl.eysroom ,20,47,3,3.888889,4.222222,4.555556
hsm66,4.727273,4.090909,3.909091,treat3,hsm66_dea1500,2,2,2,4.333333,3.777778,3.555556
ht396,4.272727,3.909091,3.818182,treat3,hannah_envpsy,2,3,3,3.666667,4,3.888889
igg8,3.818182,NA,4.272727,treat3,dea1500_bellag,0,0,1,3.777778,NA,3.888889
ime26,4.454545,4.272727,4.272727,treat3,ishan_e_dea1500,9,3,3,3.888889,3.888889,4
jac734,4.545455,5,4.909091,treat1,juliecotton_envpsy,10,9,3,4.111111,5,5
jch362,4.272727,4.181818,4,treat1,julieh_work,8,9,3,3.555556,3.444444,3.888889
jcl353,4.272727,3.909091,3.909091,treat2,lee.jay,2,1,1,4.111111,3.777778,3.333333
jcn66,5,4.727273,5,treat3,jasminecarmenng,3,2,1,4.777778,4,4.666667
jey36,3.909091,3.909091,4,treat1,dea_1500,7,5,3,3.888889,4,3.888889
jgc238,3.909091,3.909091,3.545455,treat2,jgcruger238,3,1,2,2.777778,2.888889,2.666667
jhr249,3.636364,4.272727,4.181818,treat2,Rodserling2020,5,2,3,4.333333,3.555556,4.333333
jl4234,4,NA,4.090909,treat3,apricot.0,0,0,1,3.555556,NA,4
jnu4,2.909091,3.181818,3.545455,treat3,killing_the_dea_game,5,8,3,3.555556,2.222222,2
jvl28,4.090909,4.545455,4.272727,treat2,zandtlavish_dea1500,1,0,3,3,2.888889,2.444444
kip22,3.272727,2.727273,2.272727,treat3,kpcornellu,1,1,3,3,3.666667,3.222222
kl532,3.909091,4,4,treat2,vsieben7,0,0,1,4,3.777778,4
kl736,3.909091,4.272727,4.454545,treat2,kjl736,21,18,3,3.222222,3.333333,3.222222
kmr225,4.272727,4.272727,4.636364,treat2,kobi_1500,10,5,3,4.111111,4.444444,4.444444
kr397,4.272727,4.818182,4.909091,treat2,kr397_dea,27,10,3,3.888889,4.333333,4.444444
kz225,3.818182,4,4.454545,treat1,envpsy,10,12,3,3.888889,3.777778,4.111111
kz88,4.181818,3.818182,4.272727,treat1,seanzhangkx,9,6,3,3.777778,3.777778,4
lgl47,3.636364,3.454545,3.818182,treat1,dea1500lindsey,1,1,2,3.666667,3.777778,4.333333
lh488,4.181818,3.909091,4,treat2,lucy.huang23,0,0,1,4,3.888889,4.111111
mab635,4.181818,4.727273,4.818182,treat2,meilicornell,3,0,3,4.444444,4.444444,4.888889
mar493,3.545455,3.818182,3.545455,treat3,mattrichman_dea1500,1,3,2,3.444444,3.444444,3.555556
mbm276,4.727273,5,5,treat2,mbmeisterart,87,73,3,4.777778,4.666667,4.888889
mes427,3.909091,3.636364,4.272727,treat3,m_santosa1500,2,2,3,3.222222,3.222222,3.555556
mfd62,3.727273,3,3.818182,treat2,dea.coolness,6,9,3,4.222222,2.555556,3.111111
mj398,3.818182,3.909091,4.181818,treat3,smj_dea,4,1,3,3.777778,4.111111,3.777778
mjw358,4,4,4.636364,treat3,malinwenviron.psych,5,1,3,4.222222,4.111111,4.111111
mmm472,3.818182,2.909091,4.272727,treat3,Kenzzieco ,5,0,3,2.777778,1,3.444444
mpk83,4.272727,4.181818,4.181818,treat2,dea.1500,2,0,2,4.333333,3.666667,4.111111
ms2637,4.636364,4.909091,4.818182,treat1,madhavi.psych1500,5,0,3,4.333333,4.444444,4
msa226,3.727273,4,3.090909,treat3,melvo5991,0,0,1,3,3.555556,3.111111
mtg86,3.545455,3.818182,3.909091,treat3,mgao.dea1500,1,1,3,3.444444,3.555556,4.444444
mtt58,3.181818,3.818182,3.363636,treat2,mtrichas,2,0,3,3.333333,3.333333,4
mwm232,1.909091,2.909091,3.272727,treat2,mag_dalena232,8,6,3,1.444444,2,2.111111
nh337,3.545455,3.454545,3.636364,treat3,nicole_dea1500,4,3,3,3.555556,3.777778,3.444444
nkg24,3.909091,4.272727,4.363636,treat2,nicole__room,4,4,3,3.777778,3.888889,3.888889
nnz2,4.181818,5,5,treat3,nuzatz.dea1500,0,1,2,3.444444,4.333333,4.444444
nv86,4.090909,3.9,3.727273,treat3,nehavijay_room,1,0,2,4.111111,3,4
nz223,3.909091,4,4.363636,treat1,'@nab.ihaz,11,0,3,3.555556,3.666667,4.555556
oao8,4.454545,4.363636,4.727273,treat1,bunmi_room_dea1500,13,10,3,4.222222,3.888889,3.666667
pim6,3.909091,4.545455,4.363636,treat1,'@phoebeandjay ,0,0,1,3.666667,3,2.888889
pjk247,3.818182,NA,4.363636,treat2,p_kay5100,0,0,1,3,NA,4.222222
pna9,3.181818,3.636364,3.454545,treat3,loiseau_heureux,2,0,2,3.333333,3.555556,3.222222
po92,4.727273,4.909091,5,treat2,pujasadventures,106,110,3,4.111111,4.333333,4.111111
qy228,4.090909,4.363636,4.090909,treat1,dorisyuanroomdea1500,2,0,3,4,4.111111,3.888889
ryk6,3.454545,3,2.181818,treat1,psych1500ryk6,6,1,3,3.888889,3.333333,2.888889
sak299,3.818182,4.181818,4.636364,treat2,simonkapen_dea,6,0,3,3.444444,3.222222,3.666667
sak357,3.636364,3.818182,3.818182,treat2,sadiesworkspace,4,3,3,4.111111,3,3.875
sc2538,4.454545,4,3.363636,treat3,siddhi_room,0,0,1,4.444444,4.111111,3.666667
sdb246,4.454545,4.545455,4.090909,treat2,just_add_plants.20,2,0,3,4,4.222222,4
sdc79,4.363636,4.363636,4.454545,treat3,sdc79_dea1500,6,6,3,4.333333,3.777778,3.666667
sl2878,3.545455,3.818182,4.181818,treat1,sunnylevitis.envpsy,1,0,3,3.777778,3.888889,4.222222
sm2259,3,3.636364,3.363636,treat1,dea1500sm,6,13,3,3,3.111111,3.444444
smc479,4.454545,4.545455,4.818182,treat1,sophiecianfarani,0,0,1,4.111111,4.333333,4.777778
srh233,4.727273,4.636364,4.727273,treat2,sophieharris.envpsy ,9,1,3,4.444444,4.666667,4.555556
st896,3.909091,4,4,treat1,anibmab98,29,24,3,3.444444,4,3.777778
ta279,2.545455,2.636364,3.272727,treat2,tatr_dea1500,3,2,3,2.888889,2.333333,3.888889
tag225,3,3.181818,3.181818,treat1,Taddys_room,6,6,3,2.111111,3.777778,3.777778
ty282,3.818182,3.909091,3.909091,treat1,dea150home,21,64,3,4.444444,4.333333,4.333333
tz272,3.363636,4.636364,4.727273,treat3,thomazhao_dea1500,1,0,3,4,4.333333,3.777778
vlt28,4,4.454545,4.545455,treat3,vlt.28,6,10,3,3.555556,3.666667,4.111111
wmr43,4.181818,5,5,treat2,Wmr_43,2,1,3,3.888889,4.444444,3.777778
wtm54,4.181818,4,3.909091,treat3,winfield_dea,12,3,3,3.444444,3.333333,4.333333
xc246,4.727273,4.363636,5,treat2,envpsych ,0,0,1,4.222222,4.444444,5
yh744,3.454545,3.909091,4,treat1,lynn.7897,2,0,3,2.777778,2.666667,2.333333
za39,4,3.727273,4.454545,treat3,zalcott.1500,3,0,3,3.888889,3.777778,4.333333
